,timestamp,Avalanche_price,Bitcoin_price,Bitcoin Cash_price,Blood Crystal_price,Bridged WBTC_price,BRIHLO_price,Chiliz_price,Dai_price,Enjin Coin_price,Ethereum_price,Ethereum Classic_price,Financie Token_price,Immutable_price,IOST_price,Lisk_price,Mona_price,NEM_price,Palette_price,XRP_price,Shiba Inu_price
0,2023-12-10 00:00:00,4601.492705537441,6337146.951913947,36594.36317373029,,,,13.09051818923118,144.80298977585647,51.03108160301593,339137.1239095773,3190.9244302640477,0.2840413212807462,0.5521928687213002,1.4579179950742214,175.3201687799209,,5.868397489472798,7.5821203710880365,95.45411281074405,0.0014482314669086798
1,2023-12-11 00:00:00,5366.519443883986,6341381.675179811,36359.52331404017,,,,13.083790366621368,144.94923134161047,51.05823970062186,340864.97168325016,3182.056239586223,0.2764163336317322,0.5648531004446066,1.4598778100870047,174.00908811413538,,5.8375075615377146,7.7137419515918335,95.87291116758409,0.0014952336244588554
2,2023-12-12 00:00:00,5581.594360423411,6020071.801759894,33641.42852087613,,,,12.113273800432491,146.0172036559343,46.41934747707803,324717.8378942733,2941.2850799803755,0.2707466628739039,0.6029167676858852,1.3686821178948692,163.14258481988958,,5.390998800163089,7.463627192435882,90.52674570370637,0.001389280028978076
3,2023-12-13 00:00:00,5433.231615714801,6021850.68814004,33670.27093650321,,,,12.184278064165994,144.9725892906216,47.84388840828126,319657.8812856091,2950.7765174228257,0.2779650679014346,0.6297152879057545,1.4523717593753163,162.47886681830207,,5.465781456898309,7.5376594179035,89.893574183851,0.0013913284778281551
4,2023-12-14 00:00:00,5567.955546480266,6128117.248339473,33599.307993306495,,,,12.143631215265692,142.6132129831785,48.026014441915386,322866.43480066484,2959.783376492793,0.24771798057734412,0.6247348118142521,1.5425030056961206,161.8238132724141,,5.503842501487667,7.568922501210215,89.69903366626195,0.0013984993449528784
5,2023-12-15 00:00:00,5583.219587437492,6118591.131394607,33727.8436127099,,,,12.294090915097083,142.04680420352057,50.38748044776455,329583.11344607204,2971.026434026763,0.2410541924360777,0.6322949072301207,1.5940433609224118,163.8606703533483,,5.665686859265587,7.409061920870412,89.93722851849235,0.0014321876329892508
6,2023-12-16 00:00:00,5678.5643342374515,5968114.859729003,32222.011677948518,,,,11.700114903553702,141.86403129794635,47.36695313011095,315510.6154102653,2830.7178436676754,0.23628893210897803,0.6274628652533655,1.387031689718954,167.01234484296563,,5.560221115233476,7.43823292265226,87.43367400075692,0.001365895823874587
7,2023-12-17 00:00:00,5967.088490037607,6003942.052010963,32631.570470015242,,,,11.844849953618095,142.19640491929286,48.37881134021912,316623.1881846586,2940.6829148936636,0.24275180816226086,0.5950220479600239,1.4560734518632155,167.04626704823545,,5.51795800801404,7.253073631018021,88.06700363352323,0.0016513128609736611
8,2023-12-18 00:00:00,5793.400564097573,5893418.756350698,32148.65461687413,,,,11.516514090317804,142.13236129786074,46.5601679179094,313029.568599368,2841.5865278450087,0.26262040913017604,0.5541985586799378,1.4074202425452589,163.475829139269,,5.315706572557142,7.29509033643336,86.81677788926656,0.00146715620855237
9,2023-12-19 00:00:00,5856.053709910249,6093707.726135695,32550.160844567086,,,,11.349684357344014,142.64197812367615,46.618971005871266,316494.6977944158,2839.064272913082,0.24824621451556672,0.5633215011287618,1.420149346194159,164.68469337231278,,5.2587158942674,7.410495903745746,87.4468930508072,0.0014879891113369409
10,2023-12-20 00:00:00,5717.1182912829445,6080320.12221999,32364.54586533326,,,,11.337801509643985,143.85135889157928,46.25691906242011,313273.7489222394,2824.01315422281,0.2252327999903234,0.6249836040895032,1.3930748651659217,163.1940032923994,,5.2361809385509375,7.407535048225442,87.023756088558,0.0014570297611313974
11,2023-12-21 00:00:00,6222.224406586128,6258282.437553375,32920.94056698758,,,,11.915484200340753,143.3758170612145,49.95544073505049,315311.5211559645,2893.2321187380267,0.22687727510334604,0.6028583651144165,1.4365106413583262,168.62071087181047,,5.350708845776298,7.461170932916004,88.44135418819835,0.0014676751608198443
12,2023-12-22 00:00:00,6545.012819346302,6231700.0585681945,33125.01354703037,,,,12.032806788318563,142.03943920444792,51.1345169649805,317795.71006956743,2933.9143039504615,0.22922103206101255,0.6249059726408847,1.4258019136658158,164.7335955877593,,5.551924513773243,7.399679945499593,88.59953565296031,0.0014822923664360368
13,2023-12-23 00:00:00,6478.353229607783,6265904.959489799,33983.95842423231,,,,12.461098270356176,142.20572571016845,52.49607529494825,331360.0664193732,3120.873234908865,0.24578354267628233,0.6311491967266213,1.4496163935361137,164.0019915133346,,5.6400685990908705,7.519870085229192,89.01503807469467,0.0015546918025907035
14,2023-12-24 00:00:00,6851.973504757347,6230726.718302065,33213.5657933311,,,,12.241877543189972,142.25459038566763,54.336051612426544,329103.19596758444,3060.3347295041726,0.23106021894498108,0.6308809511646266,1.4582413352336123,165.08422652773257,,5.7029223526454595,7.353952380458366,88.25283607986808,0.0015790675174724288
15,2023-12-25 00:00:00,6803.740993736126,6126672.295922278,32617.462419673622,,,,12.311298242096695,142.09601604534762,54.422054906770406,322754.8569030602,2970.122728228903,0.24189062332818664,0.6126685538765463,1.4037816065177366,161.12727964627595,,5.507310470807416,7.283738068037771,87.31920167479277,0.0015196313133212464
16,2023-12-26 00:00:00,6878.223621209101,6206709.987498328,33413.888743032076,,,,12.849474879451673,142.0945836776252,56.29320963688112,323381.04005367873,3054.5955246324766,0.23241827682676205,0.6071260425757246,1.4410137145171336,163.62704807808868,,5.694888033934555,7.451491498851158,92.03591662988754,0.0015675711627056539
