,Name,weight
0,Avalanche,0.00812847925856044
1,Bitcoin,0.7492515381657551
2,Bitcoin Cash,0.00399962069342598
3,Dai,0.0012766508860063415
4,Ethereum,0.17568117376951
5,Ethereum Classic,0.0018801924567067095
6,Immutable,0.0012144016025810915
7,Shiba Inu,0.006221978880119843
8,XRP,0.05234596428733457
